TOPIC:
your	0.028868288339268862
that	0.026614783954435485
this	0.021890302142877904
lord	0.014852960696065823
have	0.01450307100969179
with	0.01434132865184902
duke	0.01224928503676358
what	0.011427413560627953
king	0.008459716078494611
from	0.007908035013889255

TOPIC:
thou	0.03618252581767475
that	0.0215031043169076
thee	0.020312420012130596
this	0.01766712608803986
with	0.015491474687930818
what	0.009058321451421497
have	0.008228685071248283
here	0.007074687523158913
come	0.006804963452524794
will	0.006739581647360748

TOPIC:
that	0.01851366814511906
king	0.018444278236288816
with	0.017911222704001754
this	0.01357022228878305
your	0.01053641189483131
thou	0.009300509952318325
shall	0.009206897439827291
lord	0.008654865573376774
from	0.0074983896810970965
will	0.0071369184139512725

TOPIC:
that	0.03040462376465685
with	0.016410117276350018
have	0.01103057166909325
which	0.01090708263222259
this	0.01022595537349546
caesar	0.009167763786004922
shakespeare	0.00726414280144773
were	0.006968637139350745
their	0.006805233632240264
they	0.0066457648472581414

TOPIC:
that	0.021077255986061496
with	0.01655428310157572
your	0.015673384088792725
have	0.015575109914591753
what	0.011169238428153708
this	0.011100624834493707
their	0.010822305864096092
shall	0.009195257146250276
they	0.00849699660630169
which	0.008417942239337606

TOPIC:
will	0.022714504867889267
have	0.018737254566816835
your	0.016970649946953333
that	0.01676497468241916
good	0.015447335809444119
master	0.014692512551306462
with	0.013780828658597895
come	0.01281016044484427
what	0.01204391833710858
this	0.010189738030050861

TOPIC:
that	0.029267080726510908
love	0.019676765719765097
your	0.016377049178429613
will	0.015118742093089338
with	0.013846834461653293
have	0.012139306082471721
what	0.010768255376910339
this	0.009868725479910863
shall	0.0074401651087567305
well	0.007369946402770709

TOPIC:
that	0.02171161205771332
king	0.017441249086124166
with	0.016732900203093627
thou	0.011171574620260262
love	0.009887950348078819
this	0.008208624323296235
henry	0.00803993013711173
thee	0.007281806689235269
their	0.006703862998616532
which	0.006531774296649283

TOPIC:
that	0.024887655109415346
with	0.016438597388101557
your	0.016208837448132323
will	0.015342659891810074
have	0.015258035483679848
what	0.012906090229518294
this	0.012627550340038783
well	0.008045888081170117
shall	0.008025375927661081
come	0.007799661846766709

TOPIC:
lord	0.02192783834839902
thou	0.018660093184659728
that	0.017418693498748944
have	0.014305933084372
what	0.012642217375814797
with	0.012288818966727297
your	0.011322720508855954
will	0.010372333621596501
this	0.009511241267404786
thee	0.009424354264308363
